Place,Parent,MapSheet,UF,BT
Wenlock River / Batavia River,Qld NW Cape York ,D5404,Batavia River,Weipa map area (Qld NW Cape York SD54-03)
Wenlock River / Batavia River,Qld NW Cape York ,D5408,Batavia River,Weipa map area (Qld NW Cape York SD54-03)
Archer River,Qld NW Cape York ,D5408,,Aurukun map area (Qld NW Cape York SD54-07)
Coen River,Qld NW Cape York ,D5408,,Aurukun map area (Qld NW Cape York SD54-07)
Holroyd map area,Qld NW Cape York,D5411,,North west Cape York (Qld SD54)
Coleman River,Qld NW Cape York ,D5411,,North west Cape York (Qld SD54)
Coleman River,Qld NW Cape York ,D5412,,North west Cape York (Qld SD54)
Coleman River,Qld NW Cape York ,D5415,,North west Cape York (Qld SD54)
Empadha,Qld NW Cape York,D5411,,Holroyd map area (Qld NW Cape York SD54-11)
Holroyd River,Qld NW Cape York ,D5411,,North West Cape York (Qld SD54)
Holroyd River,Qld NW Cape York ,D5412,,North West Cape York (Qld SD54)
Kendall River,Qld NW Cape York,D5411,,Holroyd map area (Qld NW Cape York SD54-11)
Pormpuraaw / Edward River,Qld NW Cape York,D5411,Edward River,Holroyd map area (Qld NW Cape York SD54-11)
Puan,Qld NW Cape York,D5411,,Holroyd map area (Qld NW Cape York SD54-11)
South Kendall,Qld NW Cape York,D5411,"Kendall, South",Holroyd map area (Qld NW Cape York SD54-11)
Rutland Plains map area,Qld NW Cape York,D5415,,North West Cape York (Qld SD54)
Alice River,Qld NW Cape York ,D5415,,Rutland Plains map area (Qld NW Cape York SD54-15)
Alice River,Qld NW Cape York ,D5416,,Rutland Plains map area (Qld NW Cape York SD54-15)
Bosworth Creek,Qld NW Cape York,D5415,,Rutland Plains map area (Qld NW Cape York SD54-15)
Highbury,Qld NW Cape York,D5415,,Rutland Plains map area (Qld NW Cape York SD54-15)
Kowanyama,Qld NW Cape York,D5415,,"Rutland Plains map area (Qld Gulf, NW Cape York SD54-15)"
Magnificent Creek,Qld NW Cape York,D5415,,Rutland Plains map area (Qld NW Cape York SD54-15)
Pur Swamp,Qld NW Cape York,D5415,,Rutland Plains map area (Qld NW Cape York SD54-15)
Rutland Plains,Qld NW Cape York,D5415,,Rutland Plains map area (Qld NW Cape York SD54-15)
Yiko / Shalfo,Qld NW Cape York,D5415,Shalfo,Rutland Plains map area (Qld NW Cape York SD54-15)
Cape Weymouth map area,Qld NE Cape York,D5404,,"North East Cape York (Qld SD54, SD55)"
Cape Direction,Qld NE Cape York,D5404,"Direction, Cape",Cape Weymouth map area (Qld NE Cape York SD54-04)
Chapman Island,Qld NE Cape York,D5404,,Cape Weymouth map area (Qld NE Cape York SD54-04)
Iron Range,Qld NE Cape York,D5404,,Cape Weymouth map area (Qld NE Cape York SD54-04)
Lockhart River,Qld NE Cape York,D5404,,Cape Weymouth map area (Qld NE Cape York SD54-04)
Lloyd Bay,Qld NE Cape York,D5404,,Cape Weymouth map area (Qld NE Cape York SD54-04)
Lloyd Island,Qld NE Cape York,D5404,,Cape Weymouth map area (Qld NE Cape York SD54-04)
Pascoe River,Qld NE Cape York,D5404,,Cape Weymouth map area (Qld NE Cape York SD54-04)
Portland Roads,Qld NE Cape York,D5404,,Cape Weymouth map area (Qld NE Cape York SD54-04)
Coen map area,Qld NE Cape York,D5408,,"North East Cape York (Qld SD54, SD55)"
Cape Sidmouth,Qld NE Cape York,D5408,"Sidmouth, Cape",Coen map area (Qld NE Cape York SD54-08)
Coen,Qld NE Cape York,D5408,,Coen map area (Qld NE Cape York SD54-08)
Massy Creek,Qld NE Cape York,D5408,,Coen map area (Qld NE Cape York SD54-08)
Nesbit River,Qld NE Cape York,D5408,,Coen map area (Qld NE Cape York SD54-08)
Night Island,Qld NE Cape York,D5408,,Coen map area (Qld NE Cape York SD54-08)
Silver Plains,Qld NE Cape York,D5408,,Coen map area (Qld NE Cape York SD54-08)
Ebagoola map area,Qld SE Cape York,D5412,,"South East Cape York (Qld SD54, SD55)"
Morehead River,Qld SE Cape York ,D5412,,Ebagoola map area (Qld SE Cape York SD54-12)
Morehead River,Qld SE Cape York ,D5416,,Ebagoola map area (Qld SE Cape York SD54-12)
Cape Melville map area,Qld SE Cape York,D5509,,"South East Cape York (Qld SD54, SD55)"
Barrow Point,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Bathurst Head / Bathurst Range,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Cape Flattery,Qld SE Cape York,D5509,"Flattery, Cape",Cape Melville map area (Qld SE Cape York SD55-09)
Cape Melville,Qld SE Cape York,D5509,"Melville, Cape",Cape Melville map area (Qld SE Cape York SD55-09)
Princess Charlotte Bay,Qld SE Cape York ,D5412,,Cape Melville map area (Qld SE Cape York SD55-09)
Princess Charlotte Bay,Qld SE Cape York ,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Flinders Group Islands,Qld SE Cape York ,D5412,,Cape Melville map area (Qld SE Cape York SD55-09)
Flinders Group Islands,Qld SE Cape York ,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Clack Island,Qld SE Cape York Flinders Group,D5509,,"Flinders Group Islands (Qld SE Cape York SD54-12, SD55-09)"
Cliff Islands,Qld SE Cape York Flinders Group,D5412,,"Flinders Group Islands (Qld SE Cape York SD54-12, SD55-09)"
Denham Island,Qld SE Cape York Flinders Group,D5509,,"Flinders Group Islands (Qld SE Cape York SD54-12, SD55-09)"
Howlick Island,Qld SE Cape York Flinders Group,D5509,,"Flinders Group Islands (Qld SE Cape York SD54-12, SD55-09)"
Stanley Island,Qld SE Cape York Flinders Group,D5509,Endean Shelter;Ship Shelter,"Flinders Group Islands (Qld SE Cape York SD54-12, SD55-09)"
Jeannie River,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Kennedy River,Qld SE Cape York ,D5416,,Cape Melville map area (Qld SE Cape York SD55-09)
Kennedy River,Qld SE Cape York ,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Kennedy River,Qld SE Cape York ,D5513,,Cape Melville map area (Qld SE Cape York SD55-09)
Lakefield,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Lizard Island,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Noble Island,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Normanby River,Qld SE Cape York ,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Normanby River,Qld SE Cape York ,D5513,,Cape Melville map area (Qld SE Cape York SD55-09)
Walaemini Shelter,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Hann River map area,Qld SE Cape York,D5416,,"South East Cape York (Qld SD54, SD55)"
Hann River,Qld SE Cape York,D5416,,Hann River map area (Qld SE Cape York SD54-16)
Cooktown map area,Qld SE Cape York,D5513,,"South East Cape York (Qld SD54, SD55)"
Armless Woman site,Laura Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Boggy Creek / Butchers Hill,Qld SE Cape York,D5513,Butchers Hill,Cooktown map area (Qld SE Cape York SD55-13)
Bull Creek,Laura Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Cape Bedford,Qld SE Cape York,D5513,"Bedford, Cape",Cooktown map area (Qld SE Cape York SD55-13)
Coamey Creek,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Cooktown,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Dillybag Shelter,Laura Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Early Man Shelter,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Deighton River,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Endeavour River,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Fallen Slabs Gallery,Laura Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Hope Vale,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Jowalbinna,Qld SE Cape York,D5513,Jawalbina,Cooktown map area (Qld SE Cape York SD55-13)
Koolburra,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Laura / Quinkan area,Qld SE Cape York,D5513,Quinkan area,Cooktown map area (Qld SE Cape York SD55-13)
Little Kennedy River,Qld SE Cape York,D5513,"Kennedy River, Little",Cooktown map area (Qld SE Cape York SD55-13)
McIvor River,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Louisiana,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Nurrabullgin,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Sandy Creek,Laura Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Shepherd Creek,Laura Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Shipton Flat,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Split Rock,Laura Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Woonoonyeah Island,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Wujal Wujal / Bloomfield River,Qld SE Cape York,D5513,Bloomfield River,Cooktown map area (Qld SE Cape York SD55-13)
Mornington map area,Qld Gulf,E5401,,Queensland Gulf country (Qld SE54)
Bayley Point,Qld Gulf,E5401,,Mornington map area (Qld Gulf SE54-01)
Bundella River / Waterholes,Qld Gulf,E5401,,Mornington map area (Qld Gulf SE54-01)
Dyalilinda River,Qld Gulf,E5401,,Mornington map area (Qld Gulf SE54-01)
Galbraith map area,Qld Gulf,E5403,,Queensland Gulf country (Qld SE54)
Gilbert River,Qld Gulf ,E5403,,Galbraith map area (Qld Gulf SE54-03)
Gilbert River,Qld Gulf ,E5407,,Galbraith map area (Qld Gulf SE54-03)
Gilbert River,Qld Gulf ,E5412,,Galbraith map area (Qld Gulf SE54-03)
Kelso Creek,Qld Gulf,E5403,,Galbraith map area (Qld Gulf SE54-03)
Macaroni Station,Qld Gulf,E5403,,Galbraith map area (Qld Gulf SE54-03)
Staaten River,Qld Gulf ,E5403,,Galbraith map area (Qld Gulf SE54-03)
Staaten River,Qld Gulf ,E5404,,Galbraith map area (Qld Gulf SE54-03)
Walsh map area,Qld Gulf,E5404,,Queensland Gulf country (Qld SE54)
Palmer River,NE Qld ,E5404,,Walsh map area (Qld Gulf SE54-04)
Palmer River,NE Qld ,E5501,,Walsh map area (Qld Gulf SE54-04)
Palmer River,NE Qld ,D5513,,Walsh map area (Qld Gulf SE54-04)
Walsh River,NE Qld,E5404,,Walsh map area (Qld Gulf SE54-04)
Westmoreland map area,Qld Gulf,E5405,,Queensland Gulf country (Qld SE54)
Allen Island,Qld Gulf,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Cliffdale Creek,Qld Gulf ,E5401,,Westmoreland map area (Qld Gulf SE54-05)
Cliffdale Creek,Qld Gulf ,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Dumadji / Doomadgee,Qld Gulf,E5405,Doomadgee,Westmoreland map area (Qld Gulf SE54-05)
Escott,Qld Gulf,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Gregory River,Qld Gulf ,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Gregory River,Qld Gulf ,E5409,,Westmoreland map area (Qld Gulf SE54-05)
Jam Tin Yard,Qld Gulf,E5405,,Westmoreland map area (Qld Gulf SE54-05)
James Creek,Qld Gulf,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Moonlight Creek,Qld Gulf,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Point Parker,Qld Gulf,E5405,"Parker, Point",Westmoreland map area (Qld Gulf SE54-05)
Syrell Creek,Qld Gulf,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Westmoreland,Qld Gulf,E5405,,Westmoreland map area (Qld Gulf SE54-05)
Burketown map area,Mainland Qld Gulf,E5406,,Queensland Gulf country (Qld SE54)
Albert River,"Burketown, Qld Gulf",E5406,,Burketown map area (Mainland Qld Gulf SE54-06)
Burketown,Qld Gulf,E5406,,Burketown map area (Mainland Qld Gulf SE54-06)
Normanton map area,Qld Gulf,E5407,,Queensland Gulf country (Qld SE54)
Morr Morr / Delta Downs,Qld Gulf ,E5403,Delta Downs,Normanton map area (Qld Gulf SE54-07)
Morr Morr / Delta Downs,Qld Gulf ,E5407,Delta Downs,Normanton map area (Qld Gulf SE54-07)
Normanton,Qld Gulf,E5407,,Normanton map area (Qld Gulf SE54-07)
Smithburne River,Qld Gulf,E5407,,Normanton map area (Qld Gulf SE54-07)
Red River map area,Qld Gulf,E5408,,Queensland Gulf country (Qld SE54)
Etheridge River,Qld Gulf ,E5408,,Red River map area (Qld Gulf SE54-08)
Etheridge River,Qld Gulf ,E5412,,Red River map area (Qld Gulf SE54-08)
Lawn Hill map area,Qld Gulf,E5409,,Queensland Gulf country (Qld SE54)
Colless Creek,Qld Gulf,E5409,,Lawn Hill map area (Qld Gulf SE54-09)
Gregory Downs,Qld Gulf,E5409,,Lawn Hill map area (Qld Gulf SE54-09)
Lawn Hill,Qld Gulf,E5409,,Lawn Hill map area (Qld Gulf SE54-09)
Donors Hill map area,Qld Gulf,E5410,,Queensland Gulf country (Qld SE54)
Augustus Downs,Qld Gulf,E5410,,Donors Hill map area (Qld Gulf SE54-10)
Croydon map area,Qld Gulf,E5411,,Donors Hill map area (Qld Gulf SE54-10)
Croydon,Qld Gulf,E5411,,Donors Hill map area (Qld Gulf SE54-10)
Georgetown map area,Qld Gulf,E5412,,Queensland Gulf country (Qld SE54)
Georgetown,Qld Gulf,E5412,,Georgetown map area (Qld Gulf SE54-12)
Camooweal map area,Qld Far NW Barkly Tableland,E5413,,Queensland Far North West (Qld Far NW SE54)
Camooweal,Qld Far NW Barkly Tableland,E5413,,Camooweal map area (Qld Far NW Barkly Tableland SE54-13)
Riversleigh,Qld Far NW Barkly Tableland,E5413,,Camooweal map area (Qld Far NW Barkly Tableland SE54-13)
Rocklands,Qld Far NW Barkly Tableland,E5413,,Camooweal map area (Qld Far NW Barkly Tableland SE54-13)
Dobbyn map area,Qld Far NW,E5414,,Queensland Far North West (Qld Far NW SE54)
Boomarra,Qld Far NW,E5414,,Dobbyn map area (Qld Far NW SE54-14)
Millungera map area,Qld Far NW,E5415,,Queensland Far North West (Qld Far NW SE54)
Gilberton map area,NE Qld,E5416,,Queensland Far North West (Qld Far NW SE54)
Mount Isa map area,Qld Far NW,F5401,,Queensland Far North West (Qld Far NW SE54)
Calton Hills,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Franks Creek,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Glencoe,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Haslingdon Holding,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
May Downs,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Mount Isa,Qld Far NW,F5401,"Isa, Mount",Mount Isa map area (Qld Far NW SF54-01)
Orana Park,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Slaty Creek,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Sybella Creek,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Yallambee,Qld Far NW,F5401,,Mount Isa map area (Qld Far NW SF54-01)
Cloncurry map area,Qld Far NW,F5402,,Queensland Far North West (Qld Far NW SE54)
Battle Mountain,Qld Far NW,F5402,,Cloncurry map area (Qld Far NW SF54-02)
Cloncurry,Qld Far NW,F5402,,Cloncurry map area (Qld Far NW SF54-02)
Granada,Qld Far NW,F5402,,Cloncurry map area (Qld Far NW SF54-02)
Julia Creek map area,Qld Far NW,F5403,,Queensland Far North West (Qld Far NW SE54)
Julia Creek,Qld Far NW,F5403,,Julia Creek map area (Qld Far NW SF54-03)
Manfred Downs,Qld Far NW,F5403,,Julia Creek map area (Qld Far NW SF54-03)
Richmond map area,Qld Far NW,F5404,,Queensland Far North West (Qld Far NW SE54)
Poseidon Downs,Qld Far NW,F5404,,Richmond map area (Qld Far NW SF54-04)
Richmond,Qld Far NW,F5404,,Richmond map area (Qld Far NW SF54-04)
Urandangi map area,Qld Far West,F5405,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Carandotta,Qld Far West,F5405,,Urandangi map area (Qld Far West SF54-05)
Headingly,Qld Far West,F5405,,Urandangi map area (Qld Far West SF54-05)
Oban,Qld Far West,F5405,,Urandangi map area (Qld Far West SF54-05)
Urandangi,Qld Far West,F5405,,Urandangi map area (Qld Far West SF54-05)
Walgra,Qld Far West,F5405,,Urandangi map area (Qld Far West SF54-05)
Waverley Creek,Qld Far West,F5405,,Urandangi map area (Qld Far West SF54-05)
Duchess map area,Qld Far West,F5406,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Ashover / Mount Guide,Qld Far West,F5406,"Mount Guide;Guide, Mount",Duchess map area (Qld Far West SF54-06)
Carbine Creek,Qld Far NW ,F5402,,Duchess map area (Qld Far West SF54-06)
Carbine Creek,Qld Far NW ,F5406,,Duchess map area (Qld Far West SF54-06)
Cuckadoo,Qld Far West,F5406,,Duchess map area (Qld Far West SF54-06)
Dajarra,Qld Far West,F5406,,Duchess map area (Qld Far West SF54-06)
Duchess,Qld Far West,F5406,,Duchess map area (Qld Far West SF54-06)
Selwyn Range,Qld Far West,F5406,,Duchess map area (Qld Far West SF54-06)
Glenormiston map area,Qld Far West,F5409,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Glenormiston,Qld Far West,F5409,,Glenormiston map area (Qld Far West SF54-09)
Roxborough Downs,Qld Far West,F5409,,Glenormiston map area (Qld Far West SF54-09)
Toko Range,"Qld Far West SF54-09, SF54-13, SE Central NT",F5409,,Glenormiston map area (Qld Far West SF54-09)
Toko Range,"Qld Far West SF54-09, SF54-13, SE Central NT",F5413,,Glenormiston map area (Qld Far West SF54-09)
Toko Range,"Qld Far West SF54-09, SF54-13, SE Central NT",F5312,,Glenormiston map area (Qld Far West SF54-09)
Boulia map area,Qld Far West,F5410,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Boulia,Qld Far West,F5410,,Boulia map area (Qld Far West SF54-10)
Hamilton River,Qld Far West ,F5410,,Boulia map area (Qld Far West SF54-10)
Hamilton River,Qld Far West ,F5414,,Boulia map area (Qld Far West SF54-10)
Mackunda map area,Qld Far West,F5411,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Mount Whelan map area,Qld Far West,F5413,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Sylvester Creek,Qld Far West,F5413,,Mount Whelan map area (Qld Far West SF54-13)
Springvale map area,Qld Far West,F5414,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Marion Downs,Qld Far West,F5414,,Springvale map area (Qld Far West SF54-14)
Brighton Downs map area,Qld Far West,F5415,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Bedourie map area,Qld Far West,G5401,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Bedourie,Qld Far West,G5401,,Bedourie map area (Qld Far West SG54-01)
Kalidawarry,Qld Far West,G5401,,Bedourie map area (Qld Far West SG54-01)
Sandringham,Qld Far West,G5401,,Bedourie map area (Qld Far West SG54-01)
Machattie map area,Qld Far West,G5402,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Glengyle,Qld Far West,G5402,,Machattie map area (Qld Far West SG54-02)
Connemara map area,Qld Far West,G5403,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Connemara,Qld Far West,G5403,,Connemara map area (Qld Far West SG54-03)
Birdsville map area,Qld Far West,G5405,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Adria Downs,Qld Far West,G5405,,Birdsville map area (Qld Far West SG54-05)
Birdsville,Qld Far West,G5405,,Birdsville map area (Qld Far West SG54-05)
Omicron,Qld Far West,G5405,,Birdsville map area (Qld Far West SG54-05)
Betoota map area,Qld Far West,G5406,,"Queensland Channel Country (Qld Far West SF54, SG54)"
Betoota,Qld Far West,G5406,,Betoota map area (Qld Far West SG54-06)
Mount Leonard,Qld Far West,G5406,"Leonard, Mount",Betoota map area (Qld Far West SG54-06)
Roseberth,Qld Far West,G5406,,Betoota map area (Qld Far West SG54-06)
Winton map area,Qld Far West,F5412,,"Queensland Far West (Qld SF54, SG54)"
Winton,Qld Far West,F5412,,Winton map area (Qld Far West SF54-12)
McKinlay map area,Qld Far West,F5407,,"Queensland Far West (Qld SF54, SG54)"
Kynuna,Qld Far West,F5407,,McKinlay map area (Qld Far West SF54-07)
Lotus Vale,Qld Far West,F5407,,McKinlay map area (Qld Far West SF54-07)
McKinlay River,Qld Far West,F5407,,McKinlay map area (Qld Far West SF54-07)
Manuka map area,Qld Far West,F5408,,"Queensland Far West (Qld SF54, SG54)"
Corfield,Qld Far West,F5408,,Manuka map area (Qld Far West SF54-08)
Dalmuir,Qld Far West,F5408,,Manuka map area (Qld Far West SF54-08)
Tangorin map area,Qld Far West,F5505,,"Queensland Far West (Qld SF54, SG54)"
Muttaburra map area,Qld Far West,F5509,,"Queensland Far West (Qld SF54, SG54)"
Aramac,Qld Far West,F5509,,Muttaburra map area (Qld Far West SF55-09)
Bowen Downs,Qld Far West,F5509,,Muttaburra map area (Qld Far West SF55-09)
Muttaburra,Qld Far West,F5509,,Muttaburra map area (Qld Far West SF55-09)
Maneroo map area,Qld Far West,F5416,,"Queensland Far West (Qld SF54, SG54)"
Vergemont,Qld Far West,F5416,,Maneroo map area (Qld Far West SF54-16)
Longreach map area,Qld Far West,F5513,,"Queensland Far West (Qld SF54, SG54)"
Barcaldine,Qld Far West,F5513,,Longreach map area (Qld Far West SF55-13)
